#,Timestamp,Hostname,CLD,VAD,LSD,SDI,SPD,ELD,lch_size,zlib_size,zlib_time,lzma_size,lzma_time,bz2_size,bz2_time,gzip_size,gzip_time,cfe_size,commits
26,1679956228,ubuntu,21198,1490819,263,20931,34,78719,35879,6499,0.001103984999645,6068,0.0580421030008437,6605,0.0043673590007529,6517,0.0009110859991778,123191,3
26,1679957128,hub,21995,1522411,1125,20935,34,187771,46094,8841,0.0014218710002751,8128,0.0625333160005539,8787,0.0053342529990914,8859,0.0012411609986884,141461,3
27,1679957128,centos,19743,689399,263,10609,34,77735,45173,7973,0.0013142379993951,7376,0.0598320310000417,7856,0.0052375790000951,7991,0.0011587160006456,153297,3
27,1679957128,debian,19379,503912,263,11296,34,79459,40442,7269,0.0011600070010899,6720,0.0599138289999245,7246,0.0048293279996869,7287,0.0010708360005082,85939,2
26,1679957128,rhel,19915,722205,263,14920,34,89705,40,39,7.89359983173199e-05,88,0.0491103140011546,64,9.04219996300526e-05,57,0.0001111029996536,23,3
27,1679957128,ubuntu,21301,1495218,263,20931,34,78309,36900,6605,0.0010195279992331,6172,0.0579545079999661,6692,0.0045171530000516,6623,0.0009115209995798,127461,3
27,1679958028,hub,22130,1525296,1125,20935,34,187552,42978,7503,0.0011578120011108,6972,0.0596713480008475,7537,0.0050209919991175,7521,0.0011144150012114,142837,3
28,1679958028,centos,19684,686453,263,10609,34,77273,42185,7689,0.0012533100016298,7096,0.0601211249995685,7585,0.0049906679996638,7707,0.0010997299996233,127769,3
28,1679958028,debian,19567,508789,263,11296,34,80052,49925,8001,0.0014647130010416,7396,0.0609007650000421,7737,0.0057153469988406,8019,0.0013096730017423,154533,3
27,1679958028,rhel,19915,722205,263,14920,34,89705,40,39,9.224899986293168e-05,88,0.0483746950012573,64,8.299999899463728e-05,57,0.000103679998574,23,3
28,1679958028,ubuntu,21288,1492257,263,20931,34,78491,40428,7062,0.0011779680007748,6552,0.0592093929990369,7152,0.0048507810006412,7080,0.0010421139995742,124741,3
28,1679958928,hub,21831,1518654,1125,20935,34,188039,44882,8693,0.0014363379996211,8040,0.1235619749986653,8763,0.0052172249997965,8711,0.0012186100011604,156542,3
29,1679958928,ubuntu,21252,1492472,263,20931,34,78755,37451,6625,0.0010535759993217,6156,0.0580651199998101,6724,0.0044488890016509,6643,0.0009623500009183,118087,3
29,1679958929,centos,19670,685460,263,10609,34,78019,39983,7458,0.0011936650007555,6900,0.0592298289993777,7416,0.0046939189996919,7476,0.0010432570015836,152273,3
29,1679958929,debian,19451,502915,263,11296,34,79424,47530,7800,0.0014686629983771,7216,0.0605951429988635,7552,0.0055392359990946,7818,0.0012573169988172,132111,3
28,1679958929,rhel,19915,722205,263,14920,34,89705,40,39,0.0001262130008399,88,0.0485005239988822,65,8.14280010672519e-05,57,6.875399958516937e-05,23,3
